"Barcode";"Name";"Volume";"Count"
"7807910019015";"Jumbo Doble Zero Cola";"1500";"26"
"5901594000900";"Tuborg";"350";"399"
"7802820020953";"VITAL CON GAS";"1600";"5099"
"7801620003968";"Woman mas Cachantun Sabor Frutos del Bosque";"1500";"193"
"7790895003868";"BONAQUA FEMSA PET 500 S/G X6";"500";"2"
"7801620014513";"PEPSI 6PF-PET 1500";"1500";"1795"
"41001332";"CERVEZA BECKS";"330";"38"
"7801610591116";"Fanta";"591";"2276"
"7801620004859";"MAS CATUN PERA SG 12PF PET500";"500";"1957"
"7790895003325";"Aquarius Naranja 2,25 x 6 PET";"2000";"1"
"7804604727928";"Pelayo Naranja";"2000";"37"
"7802130000669";"Becker";"473";"10054"
"7801620852580";"KEM PIÑA";"350";"665"
"7802100000316";"HEINEKEN 12PCX2-LAT350 PDQ-LINEA";"350";"6929"
"7802100002938";"ESCUDO SILVER 12PKX2-LAT350CC";"350";"3534"
"7801620015862";"CACHANTUN L/GAS 12PF-PET 500";"500";"2669"
"7801610000601";"COCA COLA ZERO";"591";"8026"
"7802100002792";"Stones Apple";"350";"336"
"7801620290184";"BILZ 6PFX4-LATA 350";"350";"431"
"7801620007409";"PAP 6PF-PET 1750-TR";"1750";"55"
"7894900530001";"CRYSTAL PET 500ML S/ GÁS UN";"500";"4"
"7501013118032";"Jumex Nectar Mango";"335";"441"
"7792798011018";"CERVEZA QUILMES";"355";"338"
"7801620004354";"Mas con gas Citrus Cachantun";"2000";"26"
"7804646000102";"ENERGIZANTE MR. BIG";"330";"81"
"7801620340216";"LIMON SODA 6PF-PET 2000";"2000";"386"
"7801620011604";"Whatt´s Nectar de Fruta Naranja";"1500";"1892"
"7801620001988";"KEM XTREME 6PF-PET 1500";"1500";"749"
"7804659350065";"Alkimy Agua Sin Gas";"500";"16"
"7801620005207";"GATORADE NARANJA 12PF-PET 750";"750";"425"
"7802130001109";"CERVEZA BECKER";"354";"12"
"7804604720097";"Lider Agua Mineral Sin Gas";"500";"94"
"7801620001841";"WATT'S TUTIFRUTILLA 6PF-PET1.5";"1500";"1618"
"77512369";"Cusqueña Golden Lager";"355";"779"
"7801610002650";"FANTA";"3000";"5"
"7801620852962";"Cachantun Sin Gas";"1600";"7272"
"7804651870042";"Nectar Maqui Manzana";"500";"1"
"7801610481035";"Aquarius Limonada Low Cal PT500 X6";"500";"289"
"7790895001413";"Coca-Cola 1000 Pet x 12";"1000";"1"
"8717953079305";"Cannabis Energy Drink";"250";"5"
"4015042030782";"Darguner Pilsener";"500";"42"
"7801620004842";"MAS CATUN PERA S/G 6PF-PET 1.5";"1500";"4"
"7801610671030";"Fanta Nar.Zero+ Vit C Pt 1,5L x6";"1500";"775"
"7801620014681";"PEPSI 6PF-PET 2000";"2000";"1296"
"7801620300180";"PAP PET 1500 X 06";"1500";"578"
"7801620855215";"7UP 12PF-PET 500";"500";"664"
"8936020052977";"Maily Coffee Capuchino";"250";"2"
"7801620006600";"MAS CATUN CITRUS 6PF-PET 1.6";"1600";"1940"
"5701598038127";"Puls";"350";"1703"
"7801620003685";"PURE LIFE S/G 6PF-PET 1500";"1500";"1122"
"7802130000775";"Stella Artois";"473";"991"
"793573966650";"ENERGIZANTE SCORE";"250";"635"
"7801620001193";"BILZ 6PF-PET 3000";"3000";"5"
"7801620006334";"WATTS DURAZNO 12PF PET 400";"400";"126"
"9120016590300";"ENERGIZANTE SHOT & GO";"1500";"7"
"7801620015817";"Cachantun Sin Gas";"500";"11831"
"7802100006097";"LEMON STONES 6PFX4-LAT350CC";"350";"3244"
"7801620300203";"PAP 6PFX4-LATA 350";"350";"372"
"7801620007492";"LIMON SODA ZERO 6PF-PET 1750-TR";"1750";"98"
"7801610200933";"Coca-Cola Zero";"1750";"1747"
"7801620004873";"MAS CATUN MANZ S/G 12PF-PET500";"500";"2223"
"7802100002259";"Cristal Cero";"470";"72"
"7801620004927";"PAP ZERO PET 500 X 12";"500";"180"
"7801610350904";"Coca Cola Zero";"1000";"527"
"7801620290160";"BILZ 6PF-PET 1500";"1500";"562"
"7802408000254";"Pina Terrano";"2000";"13"
"7801620855307";"7UP 6PF X 4-PET 250";"250";"808"
"7801610105993";"Coca Cola pet 1,75 lts *6";"1750";"1931"
"7801620007324";"GINGER ALE LIGHT 6PF-PET 2.0";"2000";"128"
"7801620016111";"LIMON SODA 12PF-PET 500";"500";"2357"
"7802820600209";"Vital de Chanqueahue mineral sin gas";"600";"6549"
"7801620002145";"Pepsi";"250";"19"
"7801620007201";"LIPTON YAZMIN LYCHEE PET1.5 X6";"1500";"7"
"7801620151058";"Canada Dry Ginger Ale Light";"1500";"915"
"7801620006105";"KEM XTR SUGAR FREE 12PF-PET500";"500";"151"
"7801620016975";"MAS CATUN NARANJ 12PF-PET500";"500";"56"
"7801610020265";"NORDIC TONICA MIST";"1500";"516"
"7801620007737";"Mas limon gasificada";"500";"105"
"7801610005262";"Sprite PT1.5 x6";"1500";"2149"
"7802820021950";"Vital de Chanqueahue mineral sin gas";"1600";"3115"
"7801620006761";"WATT'S MANZAN LIGHT 6PF-PET1.5";"1500";"322"
"7801620003500";"WATT'S TUTIARANDANO 6P-PET 1.5";"1500";"593"
"7801620016012";"BILZ 12PF-PET 500";"500";"1180"
"7801610481530";"Aquarius Limonada Low Cal PT1.5 X6";"1500";"389"
"7801610273500";"Nordic Ginger Ale Zero Lata 350 cc 6x4";"350";"248"
"7802800545247";"Yuz Nectar Zuko Damasco";"1500";"5"
"7801610350355";"Coca-Cola Zero";"350";"5815"
"7802820000030";"Andina Nectar Damasco Pt 1,5x6";"1500";"661"
"7801610022726";"Coca-Cola Light";"1500";"2367"
"7801610000595";"COCA COLA LIGHT";"591";"2878"
"7802820441512";"Benedictino PT 1.5 Lt*6 S/G";"1500";"1813"
"7801620006648";"Cachantun Mas sin Gas Uva";"1600";"1631"
"7801620290191";"BILZ 6PF-PET 2000";"2000";"324"
"7802820669961";"PAWERADE ZERO FROZEN LIMON";"600";"58"
"7802130000263";"Stella Artois Premium Lager Beer";"354";"2631"
